0,5.1,3.4,1.5,0.2,0
1,7.7,3.0,6.1,2.3,2
2,5.7,2.8,4.5,1.3,1
3,6.8,3.2,5.9,2.3,2
4,5.2,3.4,1.4,0.2,0
5,5.6,2.9,3.6,1.3,1
6,5.5,2.6,4.4,1.2,1
7,5.5,2.4,3.7,1.0,1
8,4.6,3.4,1.4,0.3,0
9,7.7,2.8,6.7,2.0,2
10,7.0,3.2,4.7,1.4,1
11,4.6,3.2,1.4,0.2,0
12,6.5,3.0,5.2,2.0,2
13,5.5,4.2,1.4,0.2,0
14,5.4,3.9,1.3,0.4,0
15,5.0,3.5,1.3,0.3,0
16,5.1,3.8,1.5,0.3,0
17,4.8,3.0,1.4,0.1,0
18,6.5,3.0,5.8,2.2,2
19,7.6,3.0,6.6,2.1,2
20,6.7,3.3,5.7,2.1,2
21,7.9,3.8,6.4,2.0,2
22,6.7,3.0,5.2,2.3,2
23,5.8,4.0,1.2,0.2,0
24,6.3,2.5,5.0,1.9,2
25,5.0,3.0,1.6,0.2,0
26,6.9,3.1,5.1,2.3,2
27,6.1,3.0,4.6,1.4,1
28,5.8,2.7,4.1,1.0,1
29,5.2,2.7,3.9,1.4,1
30,6.7,3.0,5.0,1.7,1
31,5.7,2.6,3.5,1.0,1
32,5.8,2.8,5.1,2.4,2
33,6.5,3.2,5.1,2.0,2
34,5.7,3.8,1.7,0.3,0
35,5.4,3.9,1.7,0.4,0
36,5.2,3.5,1.5,0.2,0
37,4.9,3.1,1.5,0.1,0
38,5.6,2.7,4.2,1.3,1
39,5.0,3.4,1.6,0.4,0
40,5.3,3.7,1.5,0.2,0
41,6.6,2.9,4.6,1.3,1
42,5.5,3.5,1.3,0.2,0
43,6.7,3.1,4.4,1.4,1
44,4.3,3.0,1.1,0.1,0
45,6.4,3.1,5.5,1.8,2
46,5.0,3.2,1.2,0.2,0
47,5.7,4.4,1.5,0.4,0
48,6.0,2.2,4.0,1.0,1
49,6.1,2.6,5.6,1.4,2
50,6.3,2.3,4.4,1.3,1
51,5.2,4.1,1.5,0.1,0
52,5.0,3.3,1.4,0.2,0
53,6.8,2.8,4.8,1.4,1
54,5.4,3.4,1.5,0.4,0
55,6.1,2.8,4.7,1.2,1
56,5.6,3.0,4.1,1.3,1
57,6.4,2.9,4.3,1.3,1
58,6.4,2.8,5.6,2.1,2
59,5.1,3.7,1.5,0.4,0
60,4.8,3.0,1.4,0.3,0
61,6.0,2.9,4.5,1.5,1
62,6.0,3.0,4.8,1.8,2
63,5.0,3.6,1.4,0.2,0
64,4.7,3.2,1.6,0.2,0
65,5.4,3.0,4.5,1.5,1
66,6.9,3.2,5.7,2.3,2
67,5.8,2.7,5.1,1.9,2
68,6.1,2.8,4.0,1.3,1
69,6.1,3.0,4.9,1.8,2
70,5.8,2.7,5.1,1.9,2
71,6.3,2.7,4.9,1.8,2
72,5.4,3.7,1.5,0.2,0
73,7.1,3.0,5.9,2.1,2
74,6.5,2.8,4.6,1.5,1
75,4.6,3.6,1.0,0.2,0
76,5.1,3.5,1.4,0.3,0
77,5.6,2.5,3.9,1.1,1
78,5.6,2.8,4.9,2.0,2
79,6.7,3.1,4.7,1.5,1
80,5.7,3.0,4.2,1.2,1
81,7.3,2.9,6.3,1.8,2
82,4.5,2.3,1.3,0.3,0
83,5.8,2.7,3.9,1.2,1
84,6.3,2.9,5.6,1.8,2
85,5.1,3.5,1.4,0.2,0
